annee;diplome;numero_de_l_etablissement;etablissement;code_de_l_academie;academie;code_du_domaine;domaine;code_de_la_discipline;discipline;situation;remarque;nombre_de_reponses;taux_de_reponse;poids_de_la_discipline;taux_d_insertion;emplois_cadre_ou_professions_intermediaires;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;de_diplomes_boursiers;taux_de_chomage_regional;salaire_net_mensuel_median_regional;emplois_cadre;emplois_exterieurs_a_la_region_de_l_universite;femmes;salaire_net_mensuel_regional_1er_quartile;salaire_net_mensuel_regional_3eme_quartile;cle_ETAB;cle_DISC
2013;LICENCE PRO;0811293R;Institut national universitaire Jean-François Champollion;A16;Toulouse;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;5;62;5;ns;ns;ns;ns;ns;;30;11.9;1820;ns;ns;ns;1460;2150;Institut national universitaire Jean-François Champollion_30;disc07_30
2013;LICENCE PRO;0811293R;Institut national universitaire Jean-François Champollion;A16;Toulouse;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;93;80;74;94;71;62;99;1500;23400;30;11.9;1820;4;50;13;1460;2150;Institut national universitaire Jean-François Champollion_18;disc12_18
2013;LICENCE PRO;0830766G;Toulon - Sud Toulon Var;A23;Nice;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;13;85;8;ns;ns;ns;ns;ns;;31;11.4;1840;ns;ns;ns;1430;2210;Toulon - Sud Toulon Var_30;disc02_30
2013;LICENCE PRO;0830766G;Toulon - Sud Toulon Var;A23;Nice;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;10;79;7;ns;ns;ns;ns;ns;;31;11.4;1840;ns;ns;ns;1430;2210;Toulon - Sud Toulon Var_18;disc05_18
2013;LICENCE PRO;0830766G;Toulon - Sud Toulon Var;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;32;81;20;78;ns;ns;ns;ns;;31;11.4;1840;ns;ns;18;1430;2210;Toulon - Sud Toulon Var_30;disc10_30
2013;LICENCE PRO;0830766G;Toulon - Sud Toulon Var;A23;Nice;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;15;89;8;ns;ns;ns;ns;ns;;31;11.4;1840;ns;ns;ns;1430;2210;Toulon - Sud Toulon Var_18;disc15_18
2013;LICENCE PRO;0830766G;Toulon - Sud Toulon Var;A23;Nice;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;15;89;8;ns;ns;ns;ns;ns;;31;11.4;1840;ns;ns;ns;1430;2210;Toulon - Sud Toulon Var_30;disc15_30
2013;LICENCE PRO;0840685N;Avignon;A02;Aix-Marseille;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;2;58;4;ns;ns;ns;ns;ns;;17;11.4;1840;ns;ns;ns;1430;2210;Avignon_30;disc07_30
2013;LICENCE PRO;0840685N;Avignon;A02;Aix-Marseille;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;17;67;33;ns;ns;ns;ns;ns;;17;11.4;1840;ns;ns;ns;1430;2210;Avignon_30;disc15_30
2013;LICENCE PRO;0860856N;Poitiers;A13;Poitiers;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;146;67;58;91;83;72;93;1600;25000;32;9.6;1730;12;57;22;1390;2040;Poitiers_30;disc12_30
2013;LICENCE PRO;0860856N;Poitiers;A13;Poitiers;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;89;74;35;92;84;71;98;1650;25700;32;9.6;1730;9;58;19;1390;2040;Poitiers_30;disc15_30
2013;LICENCE PRO;0860856N;Poitiers;A13;Poitiers;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;16;60;6;ns;ns;ns;ns;ns;;32;9.6;1730;ns;ns;ns;1390;2040;Poitiers_30;disc16_30
